id,state,lga,facility_name,Data source
1,Akwa Ibom,Oruk Anam,"GH, Ikot Okoro",IAR TB SAMPLE MAPPING AND TARRIFF
2,Akwa Ibom,Eket,"Immanuel General Hospital, Eket",IAR TB SAMPLE MAPPING AND TARRIFF
3,Akwa Ibom,Essien Udim,ST. MARY 'S HOSPITAL URUA AKPAN,IAR TB SAMPLE MAPPING AND TARRIFF
4,Akwa Ibom,Etim Ekpo,GENERAL HOSPITAL URUK ATA IKOT EKPO,IAR TB SAMPLE MAPPING AND TARRIFF
5,Akwa Ibom,Etinan,QUA IBOE CHURCH LEPROSY HOSPITAL,IAR TB SAMPLE MAPPING AND TARRIFF
6,Akwa Ibom,Ikot Ekpene,"IDH, IKOT EKPENE",IAR TB SAMPLE MAPPING AND TARRIFF
7,Akwa Ibom,Ikono,GENERAL HOSPITAL IBIAKU NTOK  OKPO,IAR TB SAMPLE MAPPING AND TARRIFF
8,Akwa Ibom,Ikot Abasi,GH Ikot Abasi,IAR TB SAMPLE MAPPING AND TARRIFF
9,Akwa Ibom,Uyo,UNIVERSITY OF UYO TEACHING HOSPITAL,IAR TB SAMPLE MAPPING AND TARRIFF
10,Akwa Ibom,Oron,GENERAL HOSPITAL IQUITA,IAR TB SAMPLE MAPPING AND TARRIFF
11,Akwa Ibom,,ST LUKES HOSPITAL ANUA,IAR TB SAMPLE MAPPING AND TARRIFF
12,Anambra,ANAMBRA WEST,GENERAL HOSPITAL UMUERI,IAR TB SAMPLE MAPPING AND TARRIFF
13,Anambra,AWKA SOUTH,ANAMBRA STATE UNIV. TH,IAR TB SAMPLE MAPPING AND TARRIFF
14,Anambra,AWKA NORTH,ANAMBRA STATE UNIV. TH,IAR TB SAMPLE MAPPING AND TARRIFF
15,Anambra,ANAOCHA,ST JOSEPH HOSPITAL ADAZI,IAR TB SAMPLE MAPPING AND TARRIFF
16,Anambra,ANAOCHA,St Joseph Hospital Adazi ,IAR TB SAMPLE MAPPING AND TARRIFF
17,Anambra,AYAMELUM,GENERAL HOSPITAL UMUERI,IAR TB SAMPLE MAPPING AND TARRIFF
18,Anambra,EKWUSIGO,NAUTH,IAR TB SAMPLE MAPPING AND TARRIFF
19,Anambra,IDEMILI SOUTH,NAUTH,IAR TB SAMPLE MAPPING AND TARRIFF
20,Anambra,IDEMILI NORTH,IYIENU MISSION HOSPITAL OGIDI,IAR TB SAMPLE MAPPING AND TARRIFF
21,Anambra,IHIALA,OUR LADY OF LOUDES,IAR TB SAMPLE MAPPING AND TARRIFF
22,Anambra,OGBARU,ONC DIAGNOSTIC CENTER OGBARU,IAR TB SAMPLE MAPPING AND TARRIFF
23,Anambra,ORUMBA NORTH,GENERAL HOSP. AJALLI,IAR TB SAMPLE MAPPING AND TARRIFF
24,Anambra,ORUMBA SOUTH,GENERAL HOSP. EKWULUOBIA,IAR TB SAMPLE MAPPING AND TARRIFF
25,Anambra,OYI,ISAAC CHIRA HOSPITAL  AWKUZU,IAR TB SAMPLE MAPPING AND TARRIFF
26,Anambra,NNEWI SOUTH,ST JOSEPH HOSPITAL ADAZI,IAR TB SAMPLE MAPPING AND TARRIFF
27,Anambra,NJIKOKA,GENERAL HOSP. ENUGU UKWU,IAR TB SAMPLE MAPPING AND TARRIFF
